user_id,isLike,uni_id,academic_encode,personality_encode,major_id_encode,block_encode
117,3,87,1,28,45,0
117,3,32,1,28,101,0
118,3,66,0,1,109,1
119,3,32,1,1,101,0
119,3,87,1,1,45,0
120,2,66,0,25,111,1
121,3,87,0,3,45,0
121,3,55,0,3,24,0
122,3,4,1,20,1,7
122,2,83,1,20,128,0
123,4,87,3,3,45,0
123,4,87,3,3,44,0
124,4,32,3,3,101,0
124,3,32,3,3,70,0
125,4,55,0,12,18,0
125,3,55,0,12,66,0
126,2,55,3,29,31,0
126,2,22,3,29,31,0
128,4,32,1,27,101,1
128,4,34,1,27,64,1
129,2,48,3,3,42,1
129,2,66,3,3,109,1
130,4,55,0,17,34,1
130,4,66,0,17,110,1
131,4,55,0,3,26,0
133,3,75,3,3,10,7
133,2,32,3,3,79,7
134,4,55,0,10,23,1
134,4,9,0,10,23,1
134,4,83,0,10,127,1
135,4,45,0,1,13,7
135,4,45,0,1,16,7
136,4,66,0,19,110,7
136,3,66,0,19,108,7
137,3,60,3,3,37,7
137,3,4,3,3,2,7
138,3,32,3,4,101,0
138,3,45,3,4,13,7
139,3,32,3,14,101,0
139,2,22,3,14,27,1
140,3,75,3,22,4,7
140,2,89,3,22,51,0
141,2,32,3,4,70,0
141,4,75,3,4,5,1
142,4,9,0,7,23,0
142,3,9,0,7,21,0
143,2,32,3,1,73,0
143,2,87,3,1,45,0
144,4,39,0,3,39,0
144,3,34,0,3,60,0
145,4,55,0,3,23,1
145,2,15,0,3,26,1
146,2,66,3,25,109,0
146,3,66,3,25,111,7
147,3,75,0,2,10,7
147,3,75,0,2,3,5
148,4,66,0,17,110,7
148,3,55,0,17,25,7
149,3,16,0,1,84,7
149,3,16,0,1,86,7
150,3,16,0,1,84,7
150,2,45,0,1,13,7
151,2,16,0,18,86,7
152,4,45,3,16,13,7
152,3,65,3,16,13,7
153,4,66,3,23,109,6
153,3,55,3,23,25,7
154,2,66,0,4,109,7
154,2,16,0,4,85,7
155,2,55,0,19,25,1
156,4,66,0,4,109,1
156,3,55,0,4,41,1
157,3,65,0,27,9,11
157,3,16,0,27,83,4
158,3,21,0,7,47,0
159,3,55,0,3,26,0
159,3,55,0,3,20,0
